ABBREVIATION,SOURCES
MigrantsOM,MigrantsOutreMer (FR)
MigrantTales,Migrant Tales (FI)
Migreurop,Migreurop (FR)
Milliyet,Milliyet  (TR)
Mirror,The Daily Mirror (GB)
MLKO,Martin Luther King Organisation (HU)
MM,Malta Media (MT)
MMP,"Missing Migrants Project, IOM"
MN,"Migration News, University of California (US)"
MNS,Migration News Sheet (GB)
MOAS,Migrant Offfshore Aid Station (MT)
Modkraft,Modkraft (DK)
Monitor,Monitor (NL)
Morgengr.,Morgengrauen – Antirassistische Zeitung (DE)
MorningJournal,The Morning Journal (US)
MornStar,Morning Star (GB)
MorWN,Morocco World News (US)
Moscow Times,The Moscow Times (RU)
MOZ,Märkische Oderzeitung (DE)
MP,Melting Pot Europa (IT)
Mrap,Mouvement contre le Racisme et pour l'Amitié entre les Peuples (FR)
MRAX,"Mouvement contre le racisme, l'antisémitisme et la xénophobie (BE)"
MSF,Médecins Sans Frontières (CH)
MSN,MSNBC (US)
MT,MoroccoTimes (MA)
MUGAK,Centro de Estudios y Documentación sobre Racismo y Xenofobia (ES)
Mumbaicentral,Mumbai Central (IN)
Myjoyonline,My Joy Online (GH)
MZ,Mitteldeutsche Zeitung (DE)
NA,Stowarzyszenie Nigdy Więcej (PL)
Naharnet,Naharnet (LE)
NAN,News Agency Nigeria (NG)
NationalAE,The National (AE)
Secolo,Il Secolo XIX (IT)
Seneweb,Seneweb News (SN)
Servir,Servir (IT)
SetDirecta,Setmanari Directa (ES)
SFH,Schweizerische Flüchtlingshilfe (CH)
SFNM,Santa Fe New Mexican (US)
SH,Sociedad HispaVista (ES)
ShieldsG,Shields Gazette (GB)
SiciliaInf,Sicilia Informazioni (IT)
Skai,Skai (GR)
Sky,Sky News (GB)
slovensko.com,Slovensko (SK)
SM,SundayMail (GB)
SmartG,"Smart Groups, Service For Group Communication"
Socialist Worker,Socialist Worker (GB)
SofiaGlobe,Sofia Globe (BG)
SofiaNewsAgency,Sofia News Agency (BG)
SOHR,Syrian Observatory for Human Rights (SY)
SoirAlgerie,Le Soir d'Algerie (DZ)
SoirInfo,Soir Info (CI)
soli-komitee,soli-komitee-wuppertal (DE)
Solidaire,Solidaire (BE)
Son Dakika,Son Dakika (TR)
Sophia,"European Union Naval Force Mediterranean, Operation Sophia"
SOS,SOS Racismo – Madrid (ES)
SOS-Menschenrechte,SOS Menschenrechte (AT)
SOSMed,SOS Mediterranée
Sozcu,Sozcu (TR)
Spanish Authorities,Spanish Authorities (ES)
Sparta,Spartacist League (US)
Spiegel,Der Spiegel (DE)
Spits,Spits (NL)
Sputnik,Sputnik News (RU)
SSF,Solidarite Sans Frontieres (CH)
Stampa,La Stampa (IT)
StandardHK,The Standard Hong Kong (HK)
Star,The Star (GB)
Statewatch,Statewatch (GB)
Stern,Stern (DE)
StGallerTagblatt,St. Galler Tagblatt (CH)
STR,Stranieri in Italia (IT)
Streatham,Streatham Guardian (GB)
StreetJ,Street Journalist (IR)
Stuff,Stuff (NZ)
SudInfo,Sud Info (BE)
SudQ,Sud Quotidien (SN)
Sun,The Sun (GB)
SunaT,Sunatimes (SO)
SunMY,The Sun Malaysia (MY)
SunNewsOnline,The Sun (DZ)
SUR,Diario Sur (ES)
SurprisingE,Surprising Europe (NL)
Svenska Dagbladet,Svenska Dagbladet (SE)
Sveriges,Sveriges Radio (SE)
Swiss.ch,Swiss Info (CH)
SydHerald,The Sydney Morning Herald (AU)
Symaag,South Yorkshire Migration and Asylum Action Group (GB)
TA,Tages-Anzeiger (CH)
Ta Nea,Ta Nea (GR)
Tagesschau,Aktuelle Nachrichten (DE)
Tagesspiegel,Der Tagesspiegel (DE)
Tampere Digest,Nettime-Tampere Digest
Tanjug,Telegrafska Agencija Nove Jugoslavije (RS)
taz,die tageszeitung (DE)
TDEMD,Turkey Disaster and Emergency Management Directorate (TR)
TDN,Turkish Daily News (TR)
Telegraaf,De Telegraaf (NL)
Telegraph,The Telegraph (GB)
